Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
165,165,0,0,78744,16640102
166,166,0,0,78744,16640102
167,167,0,0,78744,16640102
168,168,0,1,153608,16640102
169,169,0,0,153608,16640102
170,170,0,0,136728,16640102
171,171,0,0,136728,16640102
172,172,0,0,136728,16640102
173,173,0,0,120692,22064844
174,174,0,0,120692,22064844
175,175,0,0,120692,22064844
176,176,0,0,105500,22064844
177,177,0,0,105500,22064844
178,178,0,1,153468,22064844
179,179,0,0,153468,22064844
180,180,0,0,153468,22064844
181,181,0,0,132153,22064844
182,182,0,0,132153,22064844
183,183,0,0,132153,25674969
184,184,0,0,110838,25674969
185,185,0,0,110838,25674969
186,186,0,0,110838,25674969
187,187,0,0,92365,25674969
188,188,0,1,132275,25674969
189,189,0,0,107855,25674969
190,190,0,0,107855,25674969
191,191,0,0,107855,25674969
192,192,0,0,85470,25674969
193,193,0,0,85470,27173579
194,194,0,0,85470,27173579
195,195,0,0,67155,27173579
196,196,0,0,67155,27173579
197,197,0,0,48840,27173579
198,198,0,1,62232,27173579
199,199,0,0,62232,27173579
200,200,0,0,44081,27173579
201,201,0,0,44081,27173579
202,202,0,0,44081,27173579
203,203,0,0,28523,26437430
204,204,0,0,28523,26437430
205,205,0,0,18151,26437430
206,206,0,0,18151,26437430
207,207,0,0,18151,26437430
208,208,0,1,9084,26437430
209,209,0,0,9084,26437430
210,210,0,0,9084,26437430
211,211,0,0,3028,26437430
212,212,0,0,3028,26437430
213,213,0,0,0,23527068
214,214,0,0,0,23527068
215,215,0,0,0,23527068
216,216,0,0,0,23527068
217,217,0,0,0,23527068
218,218,0,1,0,23527068
219,219,0,0,6530,23527068
220,220,0,0,6530,23527068
221,221,0,0,6530,23527068
222,222,0,0,16325,23527068
223,223,0,0,16325,18681850
224,224,0,0,29385,18681850
225,225,0,0,29385,18681850
226,226,0,0,29385,18681850
227,227,0,0,45710,18681850
228,228,0,1,45906,18681850
229,229,0,0,45906,18681850
230,230,0,0,68859,18681850
231,231,0,0,68859,18681850
232,232,0,0,91812,18681850
233,233,0,0,91812,12300257
234,234,0,0,91812,12300257
235,235,0,0,121323,12300257
236,236,0,0,121323,12300257
237,237,0,0,121323,12300257
238,238,0,1,142880,12300257
239,239,0,0,142880,12300257
240,240,0,0,179360,12300257
241,241,0,0,179360,12300257
242,242,0,0,179360,12300257
243,243,0,0,215840,4907121
244,244,0,0,215840,4907121
245,245,0,0,215840,4907121
246,246,0,0,258400,4907121
247,247,0,0,258400,4907121
